home_team_enc,away_team_enc,home_wins_last3y,home_draws_last3y,home_losses_last3y,home_goals_for_last3y,home_goals_against_last3y,away_wins_last3y,away_draws_last3y,away_losses_last3y,away_goals_for_last3y,away_goals_against_last3y,home_h2h_winrate,result,date,home_team,away_team,result_enc
33,32,1.0,0.0,2.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0,0.5,H,2012-06-10,SAO PAULO,SANTOS,2
13,16,2.0,2.0,0.0,4.0,2.0,1.0,3.0,0.0,5.0,4.0,0.25,H,2012-06-16,CRUZEIRO,FIGUEIRENSE,2
22,6,2.0,2.0,0.0,6.0,3.0,2.0,0.0,2.0,11.0,10.0,0.5,A,2012-06-16,INTERNACIONAL,BOTAFOGO RJ,0
18,30,1.0,3.0,0.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,0.0,H,2012-06-17,FLUMINENSE,PORTUGUESA,2
5,34,0.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,0.0,H,2012-06-17,BAHIA,SPORT RECIFE,2
17,32,1.0,3.0,0.0,9.0,7.0,0.0,3.0,1.0,1.0,2.0,0.25,H,2012-06-17,FLAMENGO RJ,SANTOS,2
27,35,0.0,1.0,3.0,2.0,5.0,4.0,0.0,0.0,9.0,4.0,0.0,D,2012-06-17,PALMEIRAS,VASCO DA GAMA,1
33,3,2.0,0.0,2.0,4.0,5.0,3.0,1.0,0.0,4.0,1.0,0.5,H,2012-06-17,SAO PAULO,ATLETICO-MG,2
11,2,1.0,0.0,3.0,5.0,8.0,0.0,2.0,2.0,1.0,4.0,0.25,H,2012-06-17,CORITIBA,ATLETICO GO,2
26,21,1.0,1.0,2.0,6.0,8.0,3.0,0.0,1.0,5.0,2.0,0.25,H,2012-06-17,NAUTICO,GREMIO,2
29,10,0.0,3.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,5.0,0.0,H,2012-06-17,PONTE PRETA,CORINTHIANS,2
30,33,1.0,1.0,3.0,4.0,8.0,3.0,0.0,2.0,5.0,5.0,0.25,H,2012-06-23,PORTUGUESA,SAO PAULO,2
35,13,4.0,1.0,0.0,10.0,5.0,3.0,2.0,0.0,5.0,2.0,0.5,A,2012-06-23,VASCO DA GAMA,CRUZEIRO,0
3,26,3.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,7.0,8.0,0.25,H,2012-06-24,ATLETICO-MG,NAUTICO,2
10,27,0.0,1.0,4.0,1.0,6.0,0.0,2.0,3.0,3.0,6.0,0.0,H,2012-06-24,CORINTHIANS,PALMEIRAS,2
16,5,1.0,3.0,1.0,5.0,5.0,1.0,2.0,2.0,4.0,5.0,0.25,D,2012-06-24,FIGUEIRENSE,BAHIA,1
21,17,3.0,0.0,2.0,5.0,3.0,2.0,3.0,0.0,10.0,7.0,0.5,H,2012-06-24,GREMIO,FLAMENGO RJ,2
2,18,0.0,2.0,3.0,1.0,7.0,2.0,3.0,0.0,8.0,4.0,0.0,A,2012-06-24,ATLETICO GO,FLUMINENSE,0
6,29,3.0,0.0,2.0,13.0,11.0,1.0,3.0,1.0,4.0,4.0,0.25,A,2012-06-24,BOTAFOGO RJ,PONTE PRETA,0
32,11,0.0,3.0,2.0,1.0,3.0,2.0,0.0,3.0,8.0,8.0,0.0,D,2012-06-24,SANTOS,CORITIBA,1
34,22,1.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,7.0,5.0,0.25,A,2012-06-24,SPORT RECIFE,INTERNACIONAL,0
13,33,4.0,2.0,0.0,8.0,3.0,3.0,0.0,3.0,5.0,6.0,0.3333333333333333,A,2012-06-30,CRUZEIRO,SAO PAULO,0
